VBN_LAGOS_LEKKI_SEC_S_1-10.35.40.194,10.35.40.194
VBN_LAGOS_LEKKI_SEC_S_2-10.35.40.196,10.35.40.196
VBN_LAGOS_APAPA_SEC_S_1-10.35.40.210,10.35.40.210
VBN_LAGOS_APAPA_SEC_S_2-10.35.40.212,10.35.40.212
VBN_LAGOS_AJAH_PRI_S_1-10.35.40.226,10.35.40.226
VBN_LAGOS_FESTAC_SEC_S_1-10.35.40.242,10.35.40.242
VBN_OTTA_IPAMESAN_SEC_S_1-10.35.42.146,10.35.42.146
VBN_LAGOS_IKORODU_SEC_S_1-10.35.42.18,10.35.42.18
VBN_LAGOS_AGEGE_SEC_S_1-10.35.42.2,10.35.42.2
VBN_LAGOS_OJO_SEC_S_1-10.35.42.34,10.35.42.34
VBN_LAGOS_AGBARA_SEC_S_1-10.35.42.50,10.35.42.50
VBN_LAGOS_RACK-CENTRE_PRI_S_1-10.35.42.66,10.35.42.66
VBN_LAGOS_RACK-CENTRE_PRI_S_2-10.35.42.68,10.35.42.68
VBN_LAGOS_RACK-CENTRE_PRI_S_3-10.35.42.69,10.35.42.69
VBN_LAGOS_RACK-CENTRE_PRI_S_4-10.35.42.70,10.35.42.70
VBN_BAUCHI_NASSARAWA-RD_PRI_S_1-10.35.44.71,10.35.44.71
VBN_OSHOGBO_IKIRUN-RASCO_PRI_S_1-10.35.44.82,10.35.44.82
VBN_PHC_BARNABAS-CHURCH-IGWURUTA_SEC_S_1-10.35.45.148,10.35.45.148
VBN_PHC_OHIA-ISIAPEDE-RUMUADAOLU_SEC_S_1-10.35.45.151,10.35.45.151
VBN_PHC_ELEKHIA_SEC_S_1-10.35.45.154,10.35.45.154
VBN_LAGOS_SWIFT_PRI_S_1-10.35.45.210,10.35.45.210
VBN_LAGOS_SWIFT_PRI_S_2-10.35.45.211,10.35.45.211
VBN_LAGOS_IKOYI-OFFICE_PRI_S_1-10.35.47.154,10.35.47.154
VBN_ABUJA_GARKI_SEC_S_1-10.35.49.137,10.35.49.137
VBN_ABUJA_GARKI_SEC_S_2-10.35.49.138,10.35.49.138
VBN_ABUJA_AIRPORT-CHIKA_SEC_S_1-10.35.49.132,10.35.49.132
VBN_ABUJA_CHRIST-APOSTOLIC-KARU_SEC_S_1-10.35.49.133,10.35.49.133
VBN_ABUJA_9MOBILE_ZFS_S_1_EE1-10.35.49.98,10.35.49.98
VBN_MOWE_KKONTECH_ZFS_S_1_NN1-10.35.50.162,10.35.50.162
VBN_MOWE_KKONTECH_ZFS_S_1_EE1-10.35.50.164,10.35.50.164
VBN_PHC_MTN-EBOCHA_ZFS_S_1_SS1-10.35.59.2,10.35.59.2
VBN_PHC_DIOBU-POLICE-STATION_SEC_S_1-10.35.59.58,10.35.59.58
VBN_WARRI_REFINERY-ROAD_SEC_S_1-10.35.60.98,10.35.60.98
VBN_LAGOS_APAPA-PORT_SEC_S_1-10.35.70.58,10.35.70.58
VBN_LAGOS_EBUTE-META_SEC_S_1-10.35.70.50,10.35.70.50
VBN_ABUJA_KADO_SEC_S_1-10.35.70.42,10.35.70.42
VBN_ABUJA_KUBWA_SEC_S_1-10.35.70.43,10.35.70.43
VBN_KANO_ZFS_ECNX_SOUTH_1-10.35.72.34,10.35.72.34
VBN_ONITSHA_AWKA-ROAD_SEC_S_1-10.35.23.186,10.35.23.186
VBN_LAGOS_ABIJO_SEC_S_1-10.35.70.110,10.35.70.110
VBN_ABUJA_ASOKORO-NEW_SEC_S_1-10.35.70.163,10.35.70.163
VBN_ABUJA_POLICEFORCE-SHEHU-SHAGARI_SEC_S_1-10.35.70.178,10.35.70.178
VBN_ABUJA_KATAMPE_SEC_S_1-10.35.70.196,10.35.70.196
VBN_IBADAN_ODO-ONA_ZFS_AP03_SS1_V-10.35.12.70,10.35.12.70
VBN_IBADAN_IWO_RC_SEC_1-10.35.12.71,10.35.12.71
VBN_ABUJA_HASSA-MUSA-ASOKORO_SEC_S_1-10.35.70.164,10.35.70.164
VBN_LAGOS_IKOTA-SHOPPING_COMPLEX-10.35.40.196,10.35.40.196
VBN_ABUJA_9MOBILE_ZFS_S_1_EE1-10.35.49.98,10.35.49.98
INQ_OGUN_SHAGAMU_ZFS_SEC_0_H-10.35.70.218,10.35.70.218
VBN_KANO_KAWON-QUARTERS_SEC_S_1-10.35.12.136,10.35.12.136
INQ_LAGOS_MEDALLION_SEC_0-10.35.70.226,10.35.70.226
INQ_PROXIM_IWO-ROAD_NORTH_SEC-10.100.28.2,10.100.28.2
INQ_PROXIM_IWO-ROAD_EAST_SEC-10.100.28.66,10.100.28.66
INQ_PROXIM_IWO-ROAD_SOUTH_SEC-10.100.28.130,10.100.28.130
INQ_PROXIM_IWO-ROAD_WEST_SEC-10.100.28.194,10.100.28.194
INQ_PROXIM_DUGBE-ROAD_NORTH_SEC-10.100.29.2,10.100.29.2
INQ_PROXIM_DUGBE-ROAD_EAST_SEC-10.100.29.66,10.100.29.66
INQ_PROXIM_DUGBE-ROAD_SOUTH_SEC-10.100.29.130,10.100.29.130
INQ_PROXIM_DUGBE-ROAD_WEST_SEC-10.100.29.194,10.100.29.194
INQ_PROXIM_ODO-ONA_NORTH_SEC-10.100.27.2,10.100.27.2
INQ_PROXIM_ODO-ONA_EAST_SEC-10.100.27.66,10.100.27.66
INQ_PROXIM_ODO-ONA_SOUTH_SEC-10.100.27.130,10.100.27.130
INQ_PROXIM_ODO-ONA_WEST_SEC-10.100.27.194,10.100.27.194
INQ_PROXIM_EWEKORO_SEC_1-10.100.25.2,10.100.25.2
INQ_PROXIM_EWEKORO_NORTH_SEC-10.100.25.66,10.100.25.66
INQ_LEKKI_FREE-TRADE-ZONE_REPEATER_SEC_1-10.100.14.2,10.100.14.2
INQ_LEKKI_FREE-TRADE-ZONE_SEC_1-10.100.15.2,10.100.15.2
INQ_PROXIM_ZENON_EAST_SEC-10.100.6.2,10.100.6.2
INQ_PROXIM_SHAGAMU_SOUTH_EAST-10.100.16.2,10.100.16.2
INQ_PROXIM_SHAGAMU_REPEATER_SEC_1-10.100.19.2,10.100.19.2
INFINITI-HUB-SWITCH-_1-172.17.3.251,172.17.3.251
UPSTREAM-HUB-SWITCH-172.17.7.246,172.17.7.246
KKONTECH-ZFS-POWER-BANK-10.35.59.11,10.35.59.11
1-GB-RADIO-RC-BKS-10.35.38.162,10.35.38.162
IKEJA-VSAT-HUB-172.17.7.3,172.17.7.3
INQ_IKOTUN-IDIMU_PWR_SW-10.35.36.173,10.35.36.173
INQ_OJO-PWR_SW-10.35.36.38,10.35.36.38
INQ_OJO_REPEATER_PWR_SW-10.35.91.50,10.35.91.50
INQ_AGBARA_PWR_SW-10.35.45.227,10.35.45.227
INQ_DUGBE_PWR_SW-10.35.14.162,10.35.14.162
INQ_APAPA-PORT_PWR_SW-10.35.36.118,10.35.36.118
INQ_BKSHOP_PWR_SW-10.35.16.14,10.35.16.14
INQ_ZENON_PWR_SW-38.38.38.2,38.38.38.2
INQ_GWARIMPA_PWR_SW-10.35.14.195,10.35.14.195
INQ_GERRARD_PWR_SW-10.35.16.148,10.35.16.148
INQ_APAPA-OLODI_PWR_SW-10.35.40.214,10.35.40.214
INQ_ODO-ONA_PWR_SW-10.35.14.163,10.35.14.163
INQ_AGEGE_PWR_SW-10.35.21.74,10.35.21.74
INQ_KANO_POP_PWR_SW-10.35.14.196,10.35.14.196
INQ_GARKI_PWR-SW-10.35.14.194,10.35.14.194
INQ_OSOGBO_PWR_-SW-10.35.91.58,10.35.91.58
INQ_ABEOKUTA_PWR_SW-10.35.19.220,10.35.19.220
INQ_IGBOEFON_PWR_SW-10.38.98.84,10.38.98.84
INQ_IWEGIE_PWR_SW-10.35.19.102,10.35.19.102
INQ_ELEKAHIA_PWR_SW-10.35.59.122,10.35.59.122
INQ_IWO-ROAD_PWR_SW-10.35.14.164,10.35.14.164
INQ_DIOBU_PWR_SW-10.35.59.202,10.35.59.202
